adm0_name,iso3,X,Y,published,sources,info,optional1,optional2,optional3,ObjectId
Chagos Archipelagio,IOT,72.459611,-7.40237,,,,,,,56
Chile,CHL,-71.21981,-35.226443,26.06.2020,"[https://www.osac.gov/Content/Report/711d9a25-ed17-46fa-9f2b-18db6ceda365]
[https://www.gov.uk/foreign-travel-advice/chile]
[https://cl.usembassy.gov/covid-19-information/]
[https://chile.gob.cl/chile/en/medidas-de-prevencion-ante-el-nuevo-coronavirus]","*****Inbound restrictions:
On 18 March 2020 the Chilean Government introduced a prohibition on entry into the country, except for Chilean nationals and foreign nationals with valid residency visas for Chile. The restrictions do not apply to Chilean nationals or residents, diplomatic visa holders, or those providing humanitarian aid. All returning travellers are required to self-quarantine for 14 days. 

*****Internal restrictions:
Chilean President Sebastian Piñera announced a 90-day ‘National State of Catastrophe’ on Wednesday 18 March 2020. On 18 June this was renewed for a further 90 days. A nationwide curfew (10pm to 5am) has been in place since 22 March. Quarantine orders and sanitary cordons are in place in Santiago and in other parts of the country. Chile is deploying a flexible approach to bringing municipal areas in and out of quarantine/sanitary cordons. New measures can be announced by the government at any time and come into force shortly after, although changes are typically announced every Wednesday and are applied from Fridays onwards. All of the metropolitan region of Santiago and six neighbouring municipalities (San Bernardo, Buin, Puente Alto, Padre Hurtado, Lampa y Colina) remain under quarantine until at least 26 June (inclusive). In addition, the urban areas of Melipilla, Curacaví, Til Til, Peñaflor and San José de Maipo are under quarantine orders until at least 26 June (inclusive). Full quarantine is also in place until at least 26 June (inclusive) in the Tarapacá region: in Iquique, Alto Hospicio, Pozo Almonte, and Los Andes; in the Valparaíso region: in San Antonio, San Felipe, Valparaíso and Viña del Mar; in the Antofagasta region: in the urban areas of Mejillones, Tocopilla and Antofagasta itself and in Calama; in the O’Higgins region: in Rancagua and Machalí; and in the El Maule region: in Curicó (Maule). Sanitary cordons are in place in the Santiago metropolitan region, Gran Concepción, Temuco, Padre Las Casas, Pirque, Valparaíso, Viña del Mar, Chiloé, Alto Biobío, Osorno, Puerto Williams, Punta Arenas and San Antonio (Valparaíso).
In those areas in quarantine, people are allowed to leave their residences only under certain circumstances, including for medical reasons, basic services, and public services. If you need to leave your residence for food supplies or medical reasons, you must get a permit from the Comisaria Virtual. Foreigners may use their passport number to access the system. The pages are only in Spanish. It is not possible to leave or enter a sanitary cordon without a “salvoconducto” (police authorization), also obtained via the Comisaria Virtual.
Checkpoints for health inspections are in force at various points around Santiago and elsewhere. In addition to checking the health of persons passing through, these checkpoints will be used to confirm that specific individuals who have been ordered to quarantine by medical authorities are not violating their quarantine. You will need to get a “Health Passport” prior to travel and present it at any checkpoint.",20200626,All foreigners and Chileans entering Chile are subject to a mandatory 14-day self-quarantine.,COVID-19 negative certification not required / not known,57
China,CHN,104.140337,32.309904,26.06.2020,"[https://www.gov.uk/foreign-travel-advice/china]
[https://www.osac.gov/Content/Browse/Report?subContentTypes=Alerts%2CTravel%20Advisories]
[https://china.usembassy-china.org.cn/covid-19-information/]","Flights and trains canceled as Beijing authorities upgrade emergency response to COVID-19  (Business Standard, 17.06.2020) 

*****Internationsl restrictions: 
China has suspended entry to foreign nationals with visas issued before 27 March, this includes transit passengers. The only exemptions will be diplomatic, service, courtesy or C visas. Individuals coming to China for necessary economic, trade, scientific or technological activities, or for emergency humanitarian needs, may apply for new visas at Chinese embassies or consulates. All international passenger flights to Beijing will be diverted to 16 designated airports in Chengdu, Changsha, Hefei, Lanzhou, Tianjin, Shijiazhuang, Taiyuan, Hohhot, Jinan, Qingdao, Nanjing, Shenyang, Dalian, Zhengzhou, Xi’an and Wuhan. Health regulations surrounding passengers arriving from overseas are continuously changing. All overseas passenger arrivals are subject to health checks (likely involving nucleic acid or swab tests), including during transit, followed by a centralised quarantine period of at least 14 days – costs for which to be covered by the passenger. During this period follow-up swap tests are likely to take place. Those failing health checks may be sent to a designated hospital for treatment. Quarantine requirements can change at short notice and may differ from province to province. Families, including those with children, may be separated upon entering quarantine. Those undergoing centralised quarantine will be asked to cover the fees for the duration. Before you travel, check with your airline, travel operator or hotel for any changes or restrictions. China issued an order to ensure compliance with health and quarantine regulations at borders. Refusal to comply with procedures or testing put in place or any attempts to deliberately conceal health conditions can result in being sentenced to up to three years in prison. This applies to both Chinese and foreign nationals.

*****Internal Restrictions
Mandatory requirements to check temperatures and use health apps or scan QR codes to prove travel history are in place at transport hubs, hotels, commercial buildings including restaurants, residential compounds and other locations – such locations are also increasingly requiring use of ‘health kit code’ apps to demonstrate health condition and travel history. Restrictions on movement and quarantine arrangements remain for travel between different parts of the country. Some cities and provinces require travellers from high to medium risk areas to undergo 14 days of isolation in their place of residence or in centralised observation. Quarantine is enforced at the neighbourhood level, procedures vary, it is recommended to check in advance. The posibility that local authorities impose mandatory quarantine in response to fresh outbreaks is high There have been reports of individuals who have frequented bars or restaurants where there have been confirmed cases of COVID-19 being mandated to undergo 14 days of centralised quarantine. A record should be kept with the latest developments and this travel advice. There have been reports of discrimination against foreign nationals in China as a result of a perceived risk that they might re-import COVID-19. ",20200626,"All passengers arriving at PEK will have a PCR test and be quarantined at the designated location in Beijing for 14 days.
Passengers arriving at Shanghai Pudong (PVG) or Shanghai Hongqiao (SHA) must undergo a Nucleic Acid Test (NAT) and a 14-day quarantine in designated places for medical observation.
Passengers who live in or have been in France, Germany, Iran, Italy, Japan, Korea (Rep.), Spain or USA in the past 14 days arriving at Guangzhou (CAN) or Shenzhen (SZX) must undergo 14-day quarantine at home or in designated places for medical observation. All passengers arriving at SZX will have a PCR test.
All passengers arriving at XMN will be quarantined for medical observation at the designated hotels for 14 days on their own expenses.
- This does not apply to passengers under 18 years old, passengers above 70 years old, pregnant women and passengers suffering from illness. They must apply for permission to undergo a 14-day quarantine at home.","COVID-19 negative certification subject to special conditions. 

All passengers arriving at PEK will have a PCR test.
Passengers arriving at Shanghai Pudong (PVG) or Shanghai Hongqiao (SHA) must undergo a Nucleic Acid Test (NAT).
All passengers arriving at Shenzhen Bao'an International Airport (SZX) will have a PCR test. ",58
China/India,"CHN, IND",79.333961,32.875909,,,,,,,59
Christmas Island,CXR,105.637062,-10.485213,,,,,,,60
Clipperton Island,PYF,-109.21719,10.303389,,,,,,,61
Cocos (Keeling) Islands,CCK,96.829094,-12.18439,,,,,,,62
Colombia,COL,-73.079481,3.904939,26.06.2020,"[https://www.gov.uk/foreign-travel-advice/colombia]
[https://www.osac.gov/Content/Browse/Report?subContentTypes=Alerts%2CTravel%20Advisories]
[https://co.usembassy.gov/covid-19-information/]","Lockdown measures extended until 15 July; international flights suspended until 31 August (Reuters, 23.06.2020)

*****International restrictions:
According to latest Colombian Government advice, airports are closed to international traffic until 1 September, domestic flights. Domestic air travel is suspended until 1 July.
Regulations are subject to change at short notice and you should check with your travel provider before your journey. All arrivals, including residents and Colombian nationals, who intend to enter the country should complete the Preventive Control Against Coronavirus form [https://www.migracioncolombia.gov.co/controlpreventivocontraelcoronavirus].  Cruise ships are not being allowed to dock at Colombian ports. Local authority statements should be monitored on social media @MigracionCol.

*****Internal restrictions:
President Duque announced a State of Emergency on 18 March. Nationwide isolation measures are in effect until 11:59 pm on 30 June. These measures restrict social contact and movement to essential activities only. This also applies to the use of private vehicles. During this period, one individual per household may leave his or her home or accommodation to: buy essential goods such as food, beverages, medicines, medical devices, sanitary and cleaning products; walk a pet for 20 minutes in the vicinity of one’s residence; access emergency services, including veterinarians; attend a necessary medical appointment; visit an ATM or bank to access financial services or to visit a notary; take a licensed taxi or public bus when necessary to leave the house for one of these approved reasons; Individual sports activity and outdoor exercise can be authorised by local administrations under certain conditions and time restrictions and are dependent on age categories of 2-5 years, 6-17 years, 18-69 years and over 70 years. Regulations vary between regions, but social distancing rules continue to apply. 
There are further non-essential exemptions to the lockdown, including visiting museums and libraries and accessing hairdressers and barbers. The timetable for this may differ regionally. Consumption of alcoholic beverages is prohibited in open spaces and commercial establishments. The use of masks is mandatory when using public transport and in areas with a high concentration of people. Cloth masks are acceptable. Those with respiratory symptoms and at risk groups (including those with pre-existing health conditions and adults over the age of 70) must always use masks in public. Certain regional authorities (e.g. in Bogota) require masks to be worn at all times when outside. Check with your local authority for more information on the specific restrictions in your area. 
Regional authorities are implementing significant further measures, including restrictions based on gender and/or identification numbers, curfews. This may also include not permitting certain exemptions to the lockdown, including outdoor exercise. Some municipalities without confirmed coronavirus cases will be allowed to ease their lockdowns.
",20200626,All arriving passengers are expected to comply with a self-quarantine of 14 days.,"COVID-19 negative certification not required / not known. 

All passengers are required to wear face masks on board the aircraft. ",63
Comoros,COM,43.354136,-11.66225,26.06.2020,"[https://www.gov.uk/foreign-travel-advice/comoros]
[https://www.osac.gov/Content/Browse/Report?subContentTypes=Alerts%2CTravel%20Advisories]
[https://mg.usembassy.gov/u-s-citizen-services/security-and-travel-information/covid-19-information/]
","*****International Restrictions
On 23 March, all international flights were suspended until further notice. Ports are closed to traffic from affected countries.
Passengers arriving from or having transited through China or Japan face entry travel restrictions or quarantine.  Travelers from counties with confirmed cases of COVID-19 may be required to have spent a period a period of 14 days in quarantine in a country that is free from COVID-19.

*****Internal restrictions:
The authorities in Comoros have introduced measures, including immigration restrictions and enhanced screening procedures, to prevent the spread of coronavirus to Comoros. Wedding celebrations, commemorations and political gatherings have been banned until further notice. Schools and universities have closed. From 25 April, a daily curfew is in place from 8pm to 5am. In addition the number of passengers on public transport is limited (10 in buses, 4 in taxis). You must wear a face-mask in all public places, including markets, banks and shops and on public transport.",20200626,Passengers arriving from or having transited through China or Japan face entry travel restrictions or quarantine.  Travelers from counties with confirmed cases of COVID-19 may be required to have spent a period a period of 14 days in quarantine in a country that is free from COVID-19.,COVID-19 negative certification required for entering the country.,64
Congo,COG,15.221024,-0.840003,26.06.2020,"
[https://cg.usembassy.gov/covid-19-information/]
[https://www.gov.uk/foreign-travel-advice/congo]
[https://www.osac.gov/Content/Report/efd9ddd4-8644-4c4c-a5d8-19004a09e5ef]","The government of The Republic of Congo extended a State of Health Emergency until July 11. The suspension of international passenger flights remains in effect, and Congolese borders remain closed. (OSAC, 24.06.2020)

*****International Restrictions:
The Republic of Congo closed its borders and all international passenger flights are suspended, except for cargo and humanitarian flights. Land,and maritime borders are also closed until further notice with the exception of cargo.

Public health requirements for humanitarian flighs [https://humanitarianbooking.wfp.org/en/wfp-aviation/]

*****Internal Restrictions:
The following measures are in place and may be amended at short notice: Lockdown measures, including prohibiting people from leaving home, suspension of non-essential travel and a curfew. There is an exception for workers providing essential goods and services; A nationwide curfew from 8 pm until 5 am.
All shops, except those selling food and essential products, are closed; Places of worship, schools, higher education institutions, bars and nightclubs are closed; Gatherings of more than 50 people as well as of family events such as weddings and funerals are prohibited; Face masks must be worn in all public places; The Republic of Congo authorities have mobilised defence and security forces to ensure compliance with the lockdown measures. The country remains under a state of health emergency and the curfew from 22:00 until 05:00 is extended until 11 July 2020. Movements between the cities of Brazzaville, and Pointe-Noire and the rest of the country are allowed as of 23 June.",20200626,"All passengers are subject to 14 days of mandatory quarantine on arrival, at the designated hotel Brazzaville. ","COVID-19 negative certification required. 

Passengers coming to Congo are advised to be tested for COVID-19 before travelling.  ",65
Cook Islands,COK,-159.77791,-21.23477,07.05.2020,[https://www.kayak.com/travel-restrictions/],"The Cook Islands have restricted entry to all travelers who have transited or been in any country other than the Cook Islands and New Zealand within the past 14 days. Nationals and residents of the Cook Islands and New Zealand and their immediate family members may still enter the Cook Islands, as may Australian nationals and residents who normally reside in New Zealand, and their immediate family members. Travelers with a work permit issued by the Cook Islands may also enter the country along with their immediate family members.

*****International restrictions:
The Cook Islands have restricted the entry to all travelers except for Cook Islanders and Cook Islands Permit Holders. The Cook Islands have restricted the entry of all travelers except for Cook Islanders and Cook Islands Permit Holders who have been present in New Zealand for at least 30 days and whose main purpose of travel is to return home, or to take up or resume employment.

*****Internal restrictions:
The authorities declared the country COVID-19 free on 18 April, and restrictions on domestic travel to and from the outer islands have been lifted. Businesses, including restaurants, have gradually resumed operations. A ban on gathering of more than ten people has also been lifted, while schools have reopened.",20200507,All travellers allowed entry will be subject to a 14-day mandatory quarantine.,COVID-19 negative certification not required / not known,66
Costa Rica,CRI,-84.193641,9.974905,23.06.2020,"[https://www.gov.uk/foreign-travel-advice/costa-rica]
[https://www.osac.gov/Content/Report/4d1a6a45-2594-42af-aca6-19004cf1073e]
[https://cr.usembassy.gov/covid-19-information/]","Costa Rica will open its borders to tourists on August 1 (Ticotimes.net, 28.06.2020)
Government halts reopening as COVID-19 cases increase (Reuters, 19.06.2020). Border closure extended until 30 June (Reuters, 29.05.2020)

*****International restrictions:
From midnight on 18 March 2020 until 30 June 2020 only Costa Rican citizens and legal residents will be allowed entry to the country by land, sea or air. These categories of people, entering during this time, will be required to self-isolate for 14-days. The Costa Rican government has announced that any legal resident who left Costa Rica on or after 24 March would automatically be prohibited from re-entry for a period specified on the date of their leaving and notified to them in writing.

*****Iinternal restrictions:
The use of private vehicles is currently restricted for the entire country, as follows: from 5am to 10pm on weekdays, licence plates ending in digits 1 & 2 do not circulate on Mondays: 3 & 4 on Tuesdays: 5 & 6 on Wednesdays: 7 & 8 on Thursdays: 9 & 0 on Fridays. There is also a ban on the use of private vehicles between 10pm and 5am, except those used by officials, diplomats or people categorised as ‘essential workers’. From 3 June extended driving restrictions (from 5pm to 5am) will enter into force in northern parts of the country (in the areas of La Cruz, Guatuso, Upala, Los Chiles and Rio Cuarto, as well as districts of San Carlos, Guacimo, Pococi, Sarapiqui y Siquirres). On weekends, vehicles are restricted according to odd/even license plate number, and only for visits to supermarkets, pharmacies and medical centres. From 5am to 7pm on Saturdays, license plates ending in even numbers do not circulate. On Sundays, this is the case for plates ending in odd numbers. An overnight ban takes effect from 7pm to 5am except for categories set out above. You should check vehicle guidance for further details. The supply of hire cars may be reduced, as rental companies have been asked to lend their vehicles for deliveries of medical equipment and goods. Public transport is operational from 4 am to 11pm. Taxis can operate at all hours.
As of 23 June, due to the recent increase of cases, the Health Ministry has announced the suspension of plans to relax additional health measures this weekend.  Driving restrictions will also be increased country wide this weekend under the same rules implemented during Semana Santa.  From Saturday June 20 at 10:00am until Monday June 22 at 5:00am, a total vehicle restriction is in effect for the entire country with travel only permitted to supermarkets, pharmacies, and hospitals and restricted by plate number.  An orange alert remains in place for several cantons and districts in northern Costa Rica and the Paquera district.  Orange alerts have also been issued for the cantons of Alajuelita and Desamparados.",20200623,Anyone arriving in Costa Rica from another country must self-quarantine for 14 days,"COVID-19 negative certification not required / not known. 

All arrivals are also being tested at port of entry for COVID-19.",67
Côte d'Ivoire,CIV,-5.552758,7.622364,26.06.2020,"[https://www.gov.uk/foreign-travel-advice/cote-d-ivoire]
[https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening]
[https://ci.usembassy.gov/covid-19-information/]","International flights to resume 1 July, domestic flights 26 June (Reuters, 25.06.2020)

*****International restrictions:
The Government of Cote d’Ivoire closed land, aviation and maritime borders on March 22, which remains in effect through 30 June. Cargo shipments are not affected. International flights to and from Côte d’Ivoire have been suspended except for humanitarian and security purposes. 

*****Internal restrictions:
The government declared an end to the nationwide curfew on 15 May. The state of emergency has been extended to 30 June. Restaurants reopened from 15 May but bars, nightclubs, cinemas and theatres will remain closed until 30 June. Schools have now reopened. The ban on all movement of people to and from Abidjan has been extended until the end of June. For the purpose of the government decree, “Abidjan” includes the District of Abidjan, Dabou, Azaguie, Bingerville, Grand-Bassam, Bonoua, Assinie and up to PK30 on the Abidjan-Yamoussoukro motorway. Within Abidjan gatherings of more than 50 people are currently not permitted. The decree exempts people transporting food supplies, medical and pharmaceutical products, medical evacuations, gas and fuel deliveries, as well as water, electricity, telephony and emergency services.",20200626,"Confirmed and suspected cases of COVID-19 are to be quarantined in government-run facilities. The primary location is at the Treichville University Teaching Hospital (CHU) in Abidjan, however the Ivoirian government is actively setting up additional facilities for testing and treatment of patients with COVID-19.",COVID-19 negative certification required ,68
Croatia,HRV,17.958746,45.451704,24.06.2020,"[https://www.gov.uk/foreign-travel-advice/croatia/entry-requirements]
[https://hr.usembassy.gov/covid-19-information-2/]
[https://reopen.europa.eu/en]","*****International restrictions:
For travellers from an EU country or from Norway, Switzerland, Iceland and Liechtensteinn the EU, when entering the Republic of Croatia, nationals of the Czech Republic, Hungary, Austria, Estonia, Latvia, Lithuania, Poland, Slovenia, Germany, and Slovakia are not required to provide any special reason for their entry (business, economic, tourist, etc.). They can enter the country under the same conditions as prior to COVID-19 outbreak, but still under epidemiological control and by complying to the recommendations issued by the Croatian Institute of Public Health. Nationals of other EU/EEA countries are required to announce their visit by filling in the form on the following site https://entercroatia.mup.hr/ and provide proof of accommodation.
For third country nationals, persons who enter Croatia for Bosnia and Herzegovina, Kosovo, Serbia, and Norh Macedonia are required to self-isolate for 14 days. All other foreign nationals (outside EU/EEA) may enter the country only for business reasons or other economic interests for Croatia, as well as pressing personal reasons, if they provide relevant proof.

*****Internal Restrictions
Croatia has mostly lifted mandatory self-isolation and quarantine restrictions for individuals entering the country. Travelers still may be ordered to self-isolate or spend 14 days in official government quarantine facilities if deemed necessary to prevent the spread of COVID-19; placement in quarantine is at the expense of the traveler. Lockdown restrictions are slowly in the process of being lifted. You should follow the latest instructions from the local authorities [https://www.koronavirus.hr/en]",20200624,"Croatia will reintroduce a mandatory 14-day quarantine for visitors from Bosnia, Kosovo, North Macedonia and Serbia following a rise in new coronavirus cases. Under the temporary measure due to come into effect on Thursday, visitors - including Croatian passport holders - arriving from the four Balkan countries will have to self-isolate for two weeks. Those in transit will not be obliged to go into quarantine, and neither will visitors from 10 European Union states to which Croatia opened its borders on June 1. 

All other European travellers are given a Pamphlet with Recommendations and Instructions from the Croatian Institute of Public Health that they must follow for 14 days after entering the country.  Travelers still may be ordered to self-isolate or spend 14 days in official government quarantine facilities if deemed necessary to prevent the spread of COVID-19; placement in quarantine is at the expense of the traveler.",COVID-19 negative certification not required / not known,69
Cuba,CUB,-79.54237,22.094607,26.06.2020,"[https://cu.usembassy.gov/covid-19-information/]
[https://www.gov.uk/foreign-travel-advice/cuba]
[https://www.osac.gov/Content/Browse/Report?subContentTypes=Alerts%2CTravel%20Advisories]","On June 5, the Cuban Government extended the closure of the airport until at least August 1 (OASC, 08.06.2020)

*****International restrictions:
All commercial and charter flights are suspended from entering or leaving Cuba until 31 July 2020, and this date may be subject to further review. No foreign sea vessels are allowed in Cuban waters until further notice. On sea vessels, there may be exceptions made by Cuban authorities on the grounds of health, fuel or technical problems. Only Cuban nationals and foreign residents of Cuba are allowed to enter Cuba, and will be put in government-managed self-isolation accommodation for 14 days. Returning residents are taken to their province of residence for quarantine.Under the government’s phased recovery plan, the rules on entry are: no foreign visitors allowed to enter the country now or when a Province is in phase 1; from 1 July, tourists will be allowed to come to Cuba again with international charter flights directly to these destinations: Cayo Coco, Cayo Cruz or Cayo Guillermo (served by Jardines del Rey airport); Cayo Santa Maria (flying into Santa Clara airport), or Cayo Largo del Sur. Tour operators can start selling these holidays now, with luggage limits of one case of up to 32kgs per passenger plus hand luggage, Everyone will be tested on arrival (a ‘PCR’ swab and a temperature test) and will be transferred directly to their resorts. Anyone that has a positive test result will be transferred to a hospital; in the last phase, tourists will be allowed to enter on any flight to Cuba. Currently all Provinces are in the first group mentioned above, therefore no tourists can enter Cuba. There is no fixed date for when a Province will move to the next phase. 

*****Internal restrictions:
Wearing masks in public places is compulsory, including in vehicles. People must maintain a minimum of distance of one metre between them. People should not leave their accommodation unless there are essential reasons, e.g. to get money, go to a clinic, go to the airport (only when flights resume). All excursions are suspended. A medic will visit the hotel twice per day. As the number of guests in hotels reduces, hotels will close and the guests will be moved into one hotel. Tourists can only stay in authorised casas particulars (private houses), and must stay in the house or may be moved to government hotels. The government will cover the transport. The cost of the hotel may not be the same as the private house. All discos, nightclubs, gymnasiums, etc (government or private owned for public access, and in hotels) are closed. Restaurants and bars have restricted services; only delivery or take away services will be allowed. Camp sites are closed.Tourists can only move around for essential trips and in officially authorised and licensed transport, e.g. yellow taxis to go to a clinic. Tourists can no longer rent cars. Transport between provinces is suspended. Urban transport services have been limited from 11 April to essential services and fewer people are allowed to travel in a bus or car. Private taxi services are suspended. Car rental is not allowed. People cannot travel from Havana to any Provinces in phase 1 recovery. Nor can anyone visit Havana unless they have special permission. There is an increased police presence in the streets and shops, to monitor that people are following the measures.
Provinces in Phase 1: Wearing masks in public places is compulsory, including in vehicles. People in queues, or public places, must maintain a minimum of distance of one metre between them. Restaurants, bars, gyms, swimming pools and beaches will re-open but must observe limits on number of people, following distancing requirements, and rules on opening hours. Public and private transport services within the Province will resume but there will limits on the numbers of passengers to observe distancing. Only passengers will be allowed into bus or train terminals. Car rental is not allowed.",20200626,"Authorities may isolate individuals arriving from COVID-19 high risk countries, or those exhibiting symptoms similar to COVID-19, as well as require screening and evaluation at a local hospital or clinic. Individuals who require quarantine will be transferred to select facilities to complete treatment in isolation for 14 days.","COVID-19 negative certification not required / not known. 

Visitors and permanent residents, upon arrival in Cuba, will be checked by professionals trained to detect symptoms of COVID-19. ",70
Curaçao,CUW,-69.056155,12.230503,26.06.2020,"[https://www.gov.uk/foreign-travel-advice/curacao]
[https://cw.usconsulate.gov/news-events/covid-19-information/]","*****International restrictions:
Curacao has announced some limited relaxations of those travel restrictions: Flights to and from Bonaire will resume on June 12, 2020; Flights to and from Aruba will resume on June 15, 2020 through July 9, 2020; Flights to and from Sint Maarten will resume on June 19, 2020 through June 30, 2020; Flights to and from the Netherlands will resume July 1, 2020; Curacao has not yet announced when flights to and from the United States will resume, but most U.S. airlines have cancelled flights until July 2020 at the earliest. The Venezuelan authorities have closed the borders with Aruba, Bonaire and Curaçao. There is currently no air or sea traffic between Curaçao and Venezuela. If you’re planning to travel on these routes, contact your tour operator for further advice.

*****Internal Restrictions:
Curacao lifted its curfew order on 5 June 2020.
",20200626,All inbound passengers will be subject to a mandatory quarantine of 14 days at a location indicated by the minister of health. ,"COVID-19 negative certification not required / not known. 

The Immigration Authority and the Department of Health will be performing screenings of all arriving passengers. ",71
Cyprus,CYP,33.221964,35.05631,22.06.2020,"[https://www.gov.uk/foreign-travel-advice/cyprus]
[https://cy.usembassy.gov/covid-19-information/]
[https://www.osac.gov/Content/Report/26a87239-cdf4-493c-989f-18d7340ef965]
[https://reopen.europa.eu/en]
","Government of Cyprus allows flights from Lebanon (The 961, 20.06.2020).The area administered by Turkish Cypriots (""Turkish Republic of Northern Cyprus"") has announced that travelers from abroad will be allowed to enter beginning Wednesday, July 1. (OSAC, 16.06.2020) 
.
*****International restrictions:
From 9 June, tourist arrivals from a limited number of countries will be permitted. Passengers who have been in destinations not listed in categories A or B, in the last 14 days will not be allowed to enter Cyprus, even via a third country (eg: Greece), until further notice. The exception to this is legal residents of Cyprus and Cypriot ID holders who will be permitted to enter Cyprus on presentation of proof of residence or Cypriot nationality and a negative PCR (antibody) test result (taken in the previous 72 hours). Further details are available from the Republic of Cyprus Information Office. If needed, you should make sure that you complete your Cyprus Flight Pass before travelling, available on the Cyprus Flight Pass [https://cyprusflightpass.gov.cy/]. 
From 8 June, the authorities in the north of Cyprus are allowing entry to ‘citizens’ and foreign nationals who hold residency, work or student permits. If in one of these categories and arrival is before before 1 July, then 14 day quarantine in facilities controlled by the authorities and pay for the cost. 

*****Internal restrictions:
From 9 June, tourist arrivals from a limited number of countries will be permitted, but this does not include the UK. Passengers who have been in the UK, or any other destination not listed in categories A or B, in the last 14 days will not be allowed to enter Cyprus, even via a third country (eg: Greece), until further notice. The exception to this is legal residents of Cyprus and Cypriot ID holders who will be permitted to enter Cyprus on presentation of proof of residence or Cypriot nationality and a negative PCR (antibody) test result (taken in the previous 72 hours). Further details are available from the Republic of Cyprus Information Office [https://www.pio.gov.cy/coronavirus/en/index.html]. If needed, you should make sure that you complete your Cyprus Flight Pass before travelling, available on the Cyprus Flight Pass[https://cyprusflightpass.gov.cy/]
From 8 June, the authorities in the north of Cyprus are allowing entry to ‘citizens’ and foreign nationals who hold residency, work or student permits. Any travellers in one of these categories who arrive before 1 July, will need to quarantine for 14 days in facilities controlled by the authorities and pay for the cost of your stay. will be permitted entry from 1 July but will still be required to present a negative PCR test result (taken in the previous 72 hours) and go into quarantine for 14 days at their own expense.",20200622,"Cyprus is allowing entry from two sets of countries of origin, according to epidemiological criteria. Please consult the country lists here [https://www.visitcyprus.com/index.php/en/cyprus-covid19-travel-protocol]
As of 20th June, persons travelling from Category A countries face no restrictions; people travelling from Category B countries are required to have a PCR test done at the source country, 72 hours prior to their arrival. Travel from countries which are not present in either of the two categories is allowed only in exceptional cases and after receiving prior approval by the Cyprus government. This is also the case for transit travel via these countries. A full list of pre-requisites (in English) is available here [https://www.pio.gov.cy/coronavirus/pdf/f11en.pdf]
Travellers arriving from category C countries will be subject to 14-day mandatory quarantine.","COVID-19 negative certification required for entering the country. 

Travelers arriving from countries under category ""B"" will be required to present proof of a negative COVID-19 test that has been conducted within 72 hours of travel, or on arrival, if the test is unavailable in the country of departure.",72
Czechia,CZE,15.331513,49.73914,26.06.2020,"[https://cz.usembassy.gov/covid-19-information/]
[https://www.gov.uk/foreign-travel-advice/czech-republic]
[https://reopen.europa.eu/en]","International train services resume at Prague rail station (Media, 25.06.2020). A total of 17 airlines have already announced their intention to resume direct flights from Vaclav Havel Airport Prague. Specifically, 55 destinations have been listed, 10 of which are already in operation. This week, direct flights to seven other destinations will be resumed, namely to Belgrade, Brussels, Budapest, Kosice, Keflavik, Manchester and Munich. (AviTrader, 16.06.2020) 

*****International Restrictions
The temporary reintroduction of internal border controls is being prolonged until 30th June. Passengers can use all airports for flights within Schengen.
In line with Commission’s recommendation, the Czech Republic applies temporary restrictions to third-country nationals coming from outside the EU/EEA, that have been prolonged until the end of June. Entry is allowed only to specific categories of persons.
Citizens and residents of EU+ countries with residence on the territory of Czech Republic, cross-border workers and students, may be subject to 14-day self-quarantine instead of providing a negative certificate. The same applies for Czech Republic citizens returning from abroad (apart from Slovakia, Hungary, Austria and Germany)
Travelling from countries with medium and high-risk will be allowed only to exempted categories and negative PCR test will have to be submitted on entry. The list of countries is based on the epidemiologic situation and will be updated on a weekly basis. EU citizens entering for the purpose of economic activity for a period exceeding 72 hrs have to submit a medical certificate. Third-country citizens have to submit a medical certificate supplemented by a negative test.

*****Internal restrictions:
There are various measures in place to control the spread of the virus. The wearing of a face mask outside, in the car, or in your place of residence is not obligatory. However it is mandatory to cover the mouth and nose when on public transport or in shops and other commercial locations. Social distancing of 2m or more when in public should be ensured. Schools and universities are now slowly re-opening.
",20200626,"If travelling from and resident in a ‘medium’ or ‘high risk’ country, you will need to provide a negative test result taken in the last four days, or self-isolate for fourteen days.  Citizens and residents of EU+ countries with residence on the territory of Czech Republic, cross-border workers and students, may be subject to 14-day self-quarantine instead of providing a negative certificate. The same applies for Czech Republic citizens returning from abroad (apart from Slovakia, Hungary, Austria and Germany).","COVID-19 negative certification required for entering the country. 

A mandatory 14-day quarantine or negative COVID result is compulsory for most individuals (Czech citizens/EU nationals/other foreigners) returning from abroad.",73
Dekelia,xUK,33.789214,35.01813,,,,,,,74
Democratic People's Republic of Korea,PRK,127.180425,40.146267,30.04.2020,"[https://www.gov.uk/foreign-travel-advice/north-korea]
[https://www.kayak.com/travel-restrictions#north-korea]","*****International restrictions:
All air and train routes into and out of North Korea are temporarily suspended as of 31 January 2020. 
Foreigners who have travelled into North Korea from virus-affected countries are subject to a 30 day period of quarantine and medical supervision.
China-North Korea border (Dandong-Sinuiju border) remains closed indefinitely. 
   
*****Internal restrictions: 
The COVID-19 national emergency has been extended to the end of the year 31/12/2020.",20200430,All entries into DPRK are subject to quarantine measures of 30 days in a government designated facility. ,COVID-19 negative certification not required / not known,75
